"Pair","PfamH","Pfam","PFamL"
"Chloroperlidae_Hirudinea",0.00211416490486258,0.000807754442649435,0
"Chloroperlidae_Hydroptilidae",0.0285412262156448,0.00161550888529887,0
"Chloroperlidae_Isonychiidae",0.0348837209302326,0.00323101777059774,0.0025
"Chloroperlidae_Lepidostomatidae",0.0454545454545455,0.00888529886914378,0
"Chloroperlidae_Leptohyphidae",0.00634249471458774,0.000807754442649435,0
"Chloroperlidae_Leptophlebiidae",0.0708245243128964,0.0113085621970921,0
"Chloroperlidae_Leuctridae",0.0898520084566596,0.0323101777059774,0
"Chloroperlidae_Lymnaeidae",0.00317124735729387,0.00161550888529887,0
"Chloroperlidae_Nemouridae",0.0179704016913319,0.00646203554119548,0
"Chloroperlidae_Odontoceridae",0.0190274841437632,0.00484652665589661,0
"Chloroperlidae_Pelecypoda",0.00845665961945032,0.00484652665589661,0
"Chloroperlidae_Peltoperlidae",0.0285412262156448,0.00969305331179321,0
"Chloroperlidae_Perlidae",0.087737843551797,0.0226171243941842,0
"Chloroperlidae_Perlodidae",0.0591966173361522,0.0169628432956381,0
"Chloroperlidae_Philopotamidae",0.118393234672304,0.0420032310177706,0.0025
