"sample_id","coll_date","bap","impact","1.High","2.Slight","3.Low"
"5-WINI-1.1",2007-08-01,2.7,"3.Low",0.00633771885627907,0.0879750177753623,0.905687263368359
"6-APAL-0.1",1992-07-15,5.61,"2.Slight",0.648684662244587,0.341174063543054,0.010141274212359
"6-APAL-0.2",2003-07-21,4.88,"3.Low",0.802027635752211,0.197259386375554,0.000712977872234523
"6-APUS_T2-0.6",2008-08-05,5.26,"2.Slight",0.306689019955563,0.348912298477812,0.344398681566625
"6-BALE-0.2",2003-07-22,7.27,"2.Slight",0.833179534548415,0.166801620742405,1.8844709179639e-05
"6-BALL-0.4",2008-08-06,6.64,"2.Slight",0.895969673583183,0.103966134903174,6.41915136424585e-05
"6-BEAB-0.3",2003-07-23,8.79,"1.High",0.99609689283558,0.00390310666753392,4.96886083107003e-10
"6-BELD-0.5",2008-08-07,6.26,"2.Slight",0.73796122586599,0.259216840968899,0.00282193316511076
"6-BEVR-1.5",2008-08-06,8.05,"1.High",0.933330835497056,0.0666553215033409,1.38429996031047e-05
"6-BEVR-7.8",2013-07-25,7.92,"1.High",0.98369591354711,0.0163040310050709,5.54478193259572e-08
"6-BIBS-0.3",2003-07-22,7.97,"1.High",0.996916864019849,0.00308313585299513,1.27155679890732e-10
"6-BIBS-6.6",2013-07-24,7.85,"1.High",0.973770362580155,0.0262291086813314,5.2873851341133e-07
"6-BIBS_T1-0.6",2008-08-05,6.85,"2.Slight",0.956441106852823,0.0435517453576818,7.14778949526602e-06
"6-BOWM-3.6",2008-07-17,8.68,"1.High",0.987974912703382,0.0120250764574281,1.08391893955248e-08
"6-BRAC-0.2",2003-07-22,8.73,"1.High",0.996325023564504,0.00367497564991888,7.85576937920944e-10
"6-BTNT-1.3",2003-07-03,8.22,"1.High",0.987122723769053,0.0128772665129011,9.71804639551577e-09
"6-BTNT-1.5",2003-07-03,7.71,"1.High",0.959485100995651,0.0405120406422977,2.85836205143797e-06
"6-BTNT-14",2003-07-07,8.19,"1.High",0.994609071143661,0.00539091938502077,9.47131794271012e-09
"6-BTNT-16",2008-09-03,7.7,"1.High",0.989263831907206,0.010736112145506,5.5947288167546e-08
